Aes
Ahr
Aim2
Akna
Arid3a
Arid5a
Atf6
Batf
Batf3
Bcl11b
Bcl3
Cebpb
Chd7
Creb1
Crebbp
Crem
Ddit3
Dffb
Dnmt3a
Dnmt3b
Egr2
Egr3
Eomes
Ercc5
Ets1
Ets2
Etv6
Exo1
Fancm
Fbxo18
Fli1
Fosl2
Foxo1
Foxp1
Gata3
Gfi1
H1f0
H2afx
Hif1a
Hist3h2a
Hmgn1
Hopx
Id2
Ifih1
Ift57
Ikzf3
Ikzf4
Impdh1
Ing2
Inhba
Irf4
Irf5
Jmjd6
Kdm2b
Kdm6b
Klf10
Klf3
Klf4
Klf7
Lef1
Lrrfip1
Maf
Maff
Mafg
Max
Mxd1
Mxi1
Myb
Naca
Ncoa1
Nfatc1
Nfatc2
Nfe2l2
Nfil3
Nfkb1
Nfyb
Nucb2
Nupr1
Otud7b
Pbx2
Pcbp4
Phtf2
Pknox1
Plagl1
Pml
Pou2f2
Ppp1r10
Prkrir
Rad52
Rara
Rbpj
Rel
Rora
Rorc
Rpa2
Runx1
Rxra
Sap30
Satb1
Scml4
Sirt2
Ski
Smarca2
Son
Sox4
Sphk1
Sra1
Stat2
Stat3
Stat4
Tal2
Tbx21
Tcf12
Tcf25
Tef
Thap4
Tox
Trib3
Trim24
Trps1
Txk
Vax2
Xrcc5
Zbed4
Zfp146
Zfp239
Zfp36l1
Zfp36l2
Zfp426
Zscan21
