Ncoa2
Dnmt3b
Ncoa1
Zfp90
Tal2
Tet3
Ppfibp2
Pogz
Fbxo21
Dnmt3a
Ssh2
Cxxc5
Nr1d1
Bcl6b
Otud7b
Irf5
Irf4
Zeb1
Zfp473
Csrnp1
Sp6
Klf7
Nfyb
Nkx1-2
Klf3
Sox4
Smarca2
Atf6
Bcl3
Mta3
Zbtb10
Plagl1
Vax2
Homez
Nr4a3
Maf
Pcbp4
Naca
Cenpw
Pbx2
Ing2
Atxn1
Cebpb
Ifih1
Ddit3
Cebpg
Casz1
Glis2
Akna
Otx1
Zfp36l1
Zfp36l2
Stat5b
Sra1
Myb
Maff
Mafg
Tert
Zfp827
Nfkb1
Kdm2b
Zfp652
Rbpj
Fli1
Impdh1
Ppard
Runx1
Crem
Prkrir
Fosl2
Nfkb2
Arid3a
Foxp3
Foxp1
Zranb3
Rcor2
H2afy2
Ercc5
Rpa2
Scrt1
Tcf12
Phf6
Tef
Xrcc5
Gata3
Rreb1
Stat4
Stat3
Stat2
Nfe2l2
Sox5
Tcf7l1
Zfp426
H1f0
Zfp629
Gtf2i
Mxd1
Lin54
Sap30
Arid5a
Hmgn1
Egr3
Exo1
Snapc1
Egr4
Ahr
Ppp1r10
Scml4
Hist1h1a
Nucb2
Tox
Trps1
Ift57
Gen1
Dffb
Pknox1
Klf12
Klf11
Klf10
Hdac4
Etv6
Pou2f2
Nupr1
Hif1a
Smad3
Klf4
Tead3
Zkscan17
Zscan21
Nrf1
E2f7
Nfatc1
Nfatc2
Vdr
Trerf1
Tbx21
Thrb
Rorc
Rora
Nostrin
Ebf1
Batf3
Aim2
Trim24
Batf
Fbxo18
Zfp445
Gfi1
Ddx11
Zhx2
Zhx3
Creb1
Pml
Ikzf4
Ikzf3
Ikzf2
Rara
Thap2
Hopx
Thap4
Rel
Phtf2
H2afx
Zfp592
Wrnip1
Polr3b
Nfil3
Son
Plag1
Zfp146
Mcm9
Zbed4
Twist1
Mxi1
Apitd1
Eomes
Foxo1
Ets1
Nfat5
Rad52
Mgmt
Hist3h2a
Lrrfip1
Dntt
Zfp668
Foxf2
Zfp239
Crebbp
Sphk1
Txk
Chd7
Zfp467
Zfpm1
Aff3
Rxra
Ahrr
Ets2
Ar
Zic2
Satb1
Max
Fancm
Prox2
Tcf25
