Hybridization REF_at	Iron01	Iron02	Iron03	Iron04	Iron05	Iron06	Iron07	Iron08	Iron09	Iron10	Iron11	Iron12	Iron13	Iron14	Iron15	Iron16	Iron17	Iron18	Iron19	Iron20	Iron21	Iron22	Iron23	Iron24
Composite Element REF_at	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2
GBAA1650_at	9.200148586	8.908729594	9.000518467	9.18188558	9.128545415	8.896224758	8.983641662	9.214043517	9.111197292	8.894612613	8.982110434	8.953386836	9.186491815	8.987694293	8.962570452	9.01974462	9.536595467	9.165478663	8.552955143	8.409326952	8.979967314	8.346146441	8.953766959	8.687017173
GBAA1651_at	9.892637059	9.678345443	9.632457034	9.877776412	9.852030611	9.565588283	9.620920532	9.876851161	9.748758853	9.502837424	9.432782827	9.429425701	9.798700024	9.64189293	9.556637569	9.674564634	9.832740493	9.487242886	9.054374098	8.833938297	9.402102888	8.827058824	9.391282535	8.969629353
GBAA1652_at	5.599001058	5.93020089	6.085014184	5.897854	5.61886387	5.982609686	5.635053862	5.783421404	5.550843422	5.820184931	5.315561837	5.297662891	6.076976218	6.987247431	5.98289542	5.860017512	5.576246999	5.362939402	5.318753931	5.153852384	5.911351578	6.127944642	6.144483281	5.993770675
GBAA1653_at	6.497777309	6.764255873	7.047968152	6.955253595	6.244243047	6.6164766	6.654658379	6.386836508	6.317801192	6.192107393	5.70281314	5.831387464	6.837453743	7.682074332	6.83124526	6.50688475	6.032546605	5.79449825	5.60002986	5.571313157	6.595737997	7.249923714	6.440824081	6.737794432
GBAA1654_at	5.19114613	5.126858585	7.22045122	7.227887009	5.524961856	5.17640606	7.479567956	7.357125307	5.056355373	5.623097456	6.020634487	6.196252387	5.225402005	5.31114795	6.116605485	6.324727544	5.214376972	5.185585992	5.858527703	5.924380358	5.077004676	5.202498269	5.889607354	5.908442424
GBAA1655_at	10.68145532	10.66628393	10.8479016	10.8513515	10.6802239	10.70566256	10.58020253	11.04036116	10.28082303	9.907426797	9.581730437	10.35361064	10.60152463	10.37975543	10.24625975	10.39623337	9.265478916	9.114490791	9.416101994	8.995679308	9.978785722	9.916358177	8.27124064	8.143857617
GBAA1656_at	11.45833604	11.38665131	11.63071303	11.56284173	11.54148597	11.48054676	11.45121132	11.73138495	10.96960093	10.79392097	10.44302995	11.12891301	11.33373599	11.09771289	11.03412916	11.3266151	9.888522283	9.705781877	10.02057872	9.497377702	10.54072117	10.43881387	8.96195262	8.854266966
GBAA1657_at	9.590445151	9.497671375	9.251706009	9.415635535	9.622376958	9.561720701	9.282382978	9.11826486	9.179175145	9.01076272	8.837933066	9.034127125	9.279761091	9.21914089	9.059644873	8.956971104	8.710818864	8.647885242	8.446211986	8.508172315	9.010499035	9.330533174	8.258273356	8.395397198
GBAA1658_at	8.147894173	8.006180894	7.999374694	8.30507598	8.144690024	8.1889085	7.858352197	7.868628196	8.386642092	8.133803538	7.701955972	7.672086454	7.942089419	7.872668487	7.576380566	7.593896605	8.164774681	8.113997327	7.816592322	8.817723207	7.812450063	7.697758509	7.781265133	7.972836492
GBAA1659_at	9.413645294	9.4513484	9.329336461	9.428140887	9.515165276	9.566450934	9.314725612	9.243739056	9.056312815	8.913555991	8.75914531	8.892179132	9.389933432	9.346381561	9.230159553	9.084022161	8.300814802	8.816662396	8.328265026	8.523317369	9.166672385	9.567425355	7.718509349	7.497655425
GBAA1660_at	13.02551947	12.91522083	13.06237319	13.10382577	13.18331463	13.0561508	12.93172627	12.82045429	12.3385442	11.98458355	11.80093595	12.23976462	12.46608349	12.49427914	12.3296916	12.28721508	10.92125243	10.95121884	11.47058765	11.27467284	11.31682941	11.79966267	10.39529935	10.24613259
GBAA1661_at	10.72974593	10.52301122	11.05974715	11.1830853	10.99741937	10.89332497	10.83154863	10.78429237	9.831008593	9.320106476	9.450936842	9.782816195	9.884004336	10.19029844	9.858253192	9.899753269	8.691538581	9.074855929	9.756203203	9.474413791	8.89174713	9.289666507	9.03513865	9.014239325
GBAA1662_at	10.57330896	10.38422761	10.74121799	10.93904586	10.68312613	10.64661687	10.60785872	10.46288801	9.980877258	9.88244747	9.834214369	9.886576028	9.984022102	10.24116484	9.872171105	9.860600471	9.674722451	9.918529817	10.12924471	9.868141919	9.654041681	9.7340629	9.461665826	9.52961059
GBAA1663_at	10.62835763	10.48263046	10.99670097	11.09480973	10.74294805	10.80428612	10.81130856	10.64158236	10.12153545	10.1026984	9.962576696	10.06638337	10.15866396	10.52150842	10.13868516	10.09109665	9.751074403	9.860624115	10.37860551	9.960760712	9.654855299	9.692202935	9.984714418	9.976359465
